Symbol,Name,Industry,Sector,Altman Z-Score,Piotroski F-Score,Beneish M-Score,Price to Intrinsic Value,Price to Lynch Fair Value,Price to Graham Number,Shiller PE Ratio,Short Ratio,Last,Volume
TAPARIA.BO,Taparia Tools Ltd,Tools & Accessories,Industrials,4.03,7,-1.62,,0.01,0.02,0.31,,11.15,3
0898.HK,Multifield International Holdings Ltd,Real Estate Services,Real Estate,1.10,5,-2.51,,,0.16,1.58,,0.93,20000
0385.HK,Chinney Alliance Group Ltd,Engineering & Construction,Industrials,1.81,8,-2.66,,,0.10,1.72,,0.36,4800
0403.HK,Starlite Holdings Ltd,Packaging & Containers,Consumer Cyclical,2.23,8,-2.65,,,0.21,3.70,,0.186,2000
3699.HK,Everbright Grand China Assets Ltd,Real Estate Services,Real Estate,1.32,5,-2.41,,,0.23,3.50,,0.35,60000
SWRBY,Swire Pacific Ltd B ADR,Conglomerates,Industrials,0.89,6,-2.35,,,0.11,2.65,,6.9500,11208
0087.HK,Swire Pacific Ltd B,Conglomerates,Industrials,0.90,6,-2.35,,,0.11,2.62,,10.94,182500
1292.HK,Changan Minsheng APLL Logistics Co Ltd,Integrated Freight & Logistics,Industrials,2.34,5,-2.57,,0.62,0.25,3.60,,2.41,94000
6173.KL,Bina Darulaman Bhd,Engineering & Construction,Industrials,0.97,6,-2.35,0.19,,0.19,9.85,,0.30,100
POAHY,Porsche Automobil Holding SE ADR,Auto Manufacturers,Consumer Cyclical,2.31,4,-2.11,0.20,0.62,0.27,2.53,,3.8900,181970
2377.HK,China Boqi Environmental (Holding) Co Ltd,Pollution & Treatment Controls,Industrials,1.58,6,-2.21,,,0.18,3.00,,0.69,147631
6838.HK,Winox Holdings Ltd,Luxury Goods,Consumer Cyclical,2.93,6,-3.00,,,0.21,1.99,,0.34,86000
0050.HK,Hong Kong Ferry (Holdings) Co Ltd,Real Estate - Diversified,Real Estate,4.57,6,-2.59,,0.53,0.27,3.48,,4.14,32000
1522.HK,BII Railway Transportation Technology Holdings Co Ltd,Information Technology Services,Technology,1.41,6,-2.12,,0.16,0.21,5.40,,0.27,8000
3944.T,Furubayashi Shiko Co Ltd,Packaging & Containers,Consumer Cyclical,1.34,9,-2.80,,,0.37,6.17,,1820.00,200
GRRLF,Grange Resources Ltd,Steel,Basic Materials,3.00,6,-2.63,,0.07,0.15,2.85,,0.1339,3150
WEGE.JK,Wijaya Karya Bangunan Gedung,Engineering & Construction,Industrials,1.65,6,-3.03,0.35,,0.27,1.50,,60.00,1156000
1538.HK,Zhong Ao Home Group Ltd,Real Estate Services,Real Estate,1.77,7,-2.56,,,0.16,2.38,,0.30,608000
0887.HK,Emperor Watch & Jewellery Ltd,Luxury Goods,Consumer Cyclical,2.79,6,-2.28,,0.30,0.20,8.75,,0.172,840000
6830.HK,Huazhong In-Vehicle Holdings Co Ltd,Auto Parts,Consumer Cyclical,1.22,6,-2.40,,,0.22,2.75,,0.199,190000
5020.KL,Glomac Bhd,Real Estate - Diversified,Real Estate,1.28,8,-2.62,0.20,,0.33,5.52,,0.39,16000
9962.KL,Gromutual Bhd,Real Estate - Diversified,Real Estate,1.64,3,-2.18,0.26,1.80,0.31,5.14,,0.27,19000
0320.HK,Computime Group Ltd,Consumer Electronics,Technology,2.66,8,-3.04,,0.24,0.27,4.45,,0.40,500000
BGUUF,Benguet Corp B,Gold,Basic Materials,2.56,5,-2.19,0.23,0.30,0.25,3.62,,0.0600,11340
CHKGF,CK Asset Holdings Ltd,Real Estate - Development,Real Estate,1.17,5,-2.13,,,0.28,4.85,,4.6500,4173
C9Q.SI,Sinostar PEC Holdings Ltd,Oil & Gas E&P,Energy,3.89,8,-3.35,0.09,0.37,0.17,2.73,,0.123,9600
0771.HK,Automated Systems Holdings Ltd,Information Technology Services,Technology,1.55,6,-2.23,,,0.29,3.58,,0.68,406000
BCCMY,BAIC Motor Corp Ltd ADR,Auto Manufacturers,Consumer Cyclical,1.96,7,-2.74,0.31,,0.33,3.42,,2.6700,139
GRR.AX,Grange Resources Ltd,Steel,Basic Materials,3.00,6,-2.63,,0.08,0.17,3.35,,0.232,639042
MGAWY,MegaWorld Corp ADR,Real Estate - Development,Real Estate,1.59,5,-2.24,0.21,0.39,0.20,3.58,,6.4000,780
BMCLF,BAIC Motor Corp Ltd,Auto Manufacturers,Consumer Cyclical,1.95,7,-2.74,0.35,,0.35,3.49,,0.2800,10000
3813.HK,Pou Sheng International Holdings Ltd,Footwear & Accessories,Consumer Cyclical,3.01,7,-3.20,,,0.25,5.56,,0.50,83000
0560.HK,Chu Kong Shipping Enterprises (Group) Co Ltd,Marine Shipping,Industrials,2.11,8,-2.44,,,0.33,4.11,,0.76,14000
7219.T,HKS Co Ltd,Auto Parts,Consumer Cyclical,2.70,5,-2.53,0.30,0.37,0.34,9.66,,2015.00,200
1958.HK,BAIC Motor Corp Ltd,Auto Manufacturers,Consumer Cyclical,1.96,7,-2.74,0.34,,0.35,3.51,,2.19,1219280
2298.HK,Cosmo Lady (China) Holdings Co Ltd,Apparel Manufacturing,Consumer Cyclical,1.08,7,-2.91,,,0.27,7.91,,0.265,189000
MSRS.ME,Rosseti Moscow Region,Utilities - Regulated Electric,Utilities,1.41,9,-3.11,0.21,0.35,0.18,3.42,,1.26,8828570
CNGKY,CK Asset Holdings Ltd ADR,Real Estate - Development,Real Estate,1.15,5,-2.13,,,0.31,4.70,,8.4500,62705
3838.HK,China Starch Holdings Ltd,Packaged Foods,Consumer Defensive,3.78,5,-2.21,,0.97,0.19,4.88,,0.195,4215000
1023.HK,Sitoy Group Holdings Ltd,Footwear & Accessories,Consumer Cyclical,2.94,6,-3.09,0.20,,0.25,3.12,,0.53,455000
0057.HK,Chen Hsong Holdings Ltd,Specialty Industrial Machinery,Industrials,2.36,7,-2.78,,,0.31,9.93,,1.36,40000
2B5.VI,BAIC Motor Corp Ltd,Auto Manufacturers,Consumer Cyclical,1.96,7,-2.74,0.35,,0.36,3.59,,0.268,0
GPRA.JK,Perdana Gapura Prima,Real Estate - Development,Real Estate,2.13,6,-2.09,0.23,0.38,0.22,4.88,,84.00,3367800
1113.HK,CK Asset Holdings Ltd,Real Estate - Development,Real Estate,1.15,5,-2.13,,,0.32,4.85,,32.45,2663943
0071.HK,Miramar Hotel & Investment Co Ltd,Real Estate Services,Real Estate,3.50,6,-1.77,,,0.29,4.83,,8.79,18000
1460.HK,ICO Group Ltd,Information Technology Services,Technology,2.26,7,-2.84,,,0.26,6.47,,0.194,28800
IRAO.ME,INTER RAO UES,Utilities - Regulated Electric,Utilities,3.11,5,-0.71,0.16,0.10,0.16,3.99,,3.70,102378656
3382.HK,Tianjin Port Development Holdings Ltd,Marine Shipping,Industrials,1.16,8,-2.69,,,0.29,6.09,,0.67,726000
ALEXA.PA,Exacompta-Clairefontaine S.A.,Business Equipment & Supplies,Industrials,1.84,7,-3.15,,0.19,0.36,8.05,,140.00,2
2779.HK,China Xinhua Education Group Ltd,Education & Training Services,Consumer Defensive,1.73,7,-1.10,,,0.22,4.11,,0.74,242000
93M1.DE,MPH Health Care AG,Asset Management,Financial Services,5.40,4,-1.66,,,0.88,3.72,,23.20,211
9873.KL,Prestar Resources Bhd,Steel,Basic Materials,2.71,9,-3.21,0.19,0.57,0.33,4.05,,0.375,3600
1743.T,Koatsu Kogyo Co Ltd,Engineering & Construction,Industrials,1.83,5,-2.01,0.25,,0.26,8.36,,1210.00,500
2317.HK,Vedan International (Holdings) Ltd,Packaged Foods,Consumer Defensive,2.80,8,-3.05,,,0.28,6.78,,0.475,96000
5075.KL,Plenitude Bhd,Real Estate - Development,Real Estate,1.01,6,-2.68,0.77,0.01,0.06,1.47,,1.47,15000
0833.HK,Alltronics Holdings Ltd,Electronic Components,Technology,2.70,8,-3.00,,,0.20,3.46,,0.45,128000
MICE.JK,Multi Indocitra,Household & Personal Products,Consumer Defensive,2.18,6,-2.21,0.55,0.80,0.28,7.41,,484.00,67200
3439.T,Mitsuchi Corp,Auto Parts,Consumer Cyclical,2.32,9,-2.84,0.31,,0.34,9.29,,673.00,600
1508.HK,China Reinsurance (Group) Corp,Insurance - Reinsurance,Financial Services,,8,-2.50,,,0.23,5.49,,0.81,2492234
1718.T,Mikikogyo Co Ltd,Engineering & Construction,Industrials,2.21,5,-1.91,,,0.33,5.11,,4740.00,500
1358.HK,PW Medtech Group Ltd,Medical Instruments & Supplies,Healthcare,3.67,9,-2.68,,0.81,0.46,2.89,,0.92,118000
CLIQ.DE,Cliq Digital AG,Entertainment,Communication Services,4.19,4,-1.92,,0.04,0.28,3.18,,5.48,7808
5997.T,Kyoritsu Air Tech Inc,Building Products & Equipment,Industrials,2.04,8,-2.43,,,0.30,5.36,,603.00,12300
1045.HK,ASatellite Holdings Ltd,Telecom Services,Communication Services,2.66,7,-2.43,,,0.38,4.74,,2.17,38000
0032.HK,Cross-Harbour (Holdings) Ltd,Education & Training Services,Consumer Defensive,2.02,5,-2.92,,,0.49,4.85,,6.65,2650
POPR.MI,Poligrafici Printing S.p.A.,Publishing,Communication Services,1.52,6,-2.61,,,0.38,8.04,,0.342,12000
AKW.PA,AKWEL S.A.,Auto Parts,Consumer Cyclical,2.41,9,-2.62,,,0.29,3.29,,7.98,2440
6114.KL,MKH Bhd,Real Estate - Development,Real Estate,1.55,8,-2.44,0.22,,0.37,4.85,,1.11,45400
MZDAF,Mazda Motor Corp,Auto Manufacturers,Consumer Cyclical,2.18,6,-2.55,0.29,0.17,0.26,6.47,,7.0000,2000
MZDAY,Mazda Motor Corp ADR,Auto Manufacturers,Consumer Cyclical,2.18,6,-2.55,0.30,0.17,0.26,6.47,,3.3601,60626
3954.T,Showa Paxxs Corp,Packaging & Containers,Consumer Cyclical,2.51,6,-2.36,,,0.35,7.61,,1824.00,100
CYD,China Yuchai International Ltd,Auto Manufacturers,Consumer Cyclical,1.63,8,-2.65,0.34,,0.39,4.82,0.11,10.95,3776
CYD.IX,China Yuchai International Ltd,Auto Manufacturers,Consumer Cyclical,1.63,8,-2.65,0.34,,0.39,4.82,0.11,10.95,2396
1480.HK,Yan Tat Group Holdings Ltd,Electronic Components,Technology,2.61,7,-2.88,,,0.25,4.66,,1.07,38000
KIRANVYPAR.BO,Kiran Vyapar Ltd,Capital Markets,Financial Services,1.92,9,-2.47,,0.34,0.36,9.22,,241.85,3676
DVL.NS,Dhunseri Ventures Ltd,Capital Markets,Financial Services,1.35,5,-1.66,,,0.32,5.22,,343.25,3495
IRC.MI,IRCE S.p.A.,Electrical Equipment & Parts,Industrials,2.52,6,-3.00,0.28,0.27,0.32,9.63,,2.09,4402
BISI.L,Bisichi Plc,Thermal Coal,Energy,1.76,5,-1.69,,,0.48,4.97,,107.45,12
THS.L,Tharisa Plc,Other Precious Metals & Mining,Basic Materials,2.08,5,-3.30,0.20,0.13,0.33,3.92,,58.00,78328
0116.HK,Chow Sang Sang Holdings International Ltd,Luxury Goods,Consumer Cyclical,3.22,8,-2.71,,,0.31,4.95,,6.59,51500
7528.KL,DKLS Industries Bhd,Engineering & Construction,Industrials,3.81,9,-1.50,0.25,0.40,0.28,7.38,,1.80,7600
0922.HK,Anxian Yuan China Holdings Ltd,Personal Services,Consumer Cyclical,2.13,6,-2.22,,,0.45,5.13,,0.152,140000
A26.SI,Sinarmas Land Ltd,Real Estate - Development,Real Estate,1.53,7,-2.48,,,0.26,4.71,,0.295,99400
DVL.BO,Dhunseri Ventures Ltd,Capital Markets,Financial Services,1.35,5,-1.66,,,0.33,5.42,,342.55,178
TUGU.JK,Asuransi Tugu Pratama Indonesia,Insurance - Diversified,Financial Services,,4,-2.51,0.25,0.22,0.30,5.85,,1010.00,936700
5970.T,G-Tekt Corp,Auto Parts,Consumer Cyclical,2.62,8,-2.92,,0.24,0.32,7.47,,1714.00,69600
42L.SI,Taka Jewellery Holdings Ltd,Luxury Goods,Consumer Cyclical,2.57,6,-2.10,0.49,,0.28,6.99,,0.088,27000
7261.T,Mazda Motor Corp,Auto Manufacturers,Consumer Cyclical,2.19,6,-2.55,0.32,0.17,0.27,6.50,,1058.00,2646600
3315.HK,Goldpac Group Ltd,Software - Infrastructure,Technology,2.42,6,-2.86,,,0.38,3.80,,1.02,9000
1058.KL,Manulife Holdings Bhd,Insurance - Life,Financial Services,,7,-2.46,0.41,0.18,0.30,8.36,,2.55,486300
4116.T,Dainichiseika Color & Chemicals Mfg. Co Ltd,Specialty Chemicals,Basic Materials,2.27,8,-2.48,,0.98,0.43,8.29,,2852.00,7200
0716.HK,Singamas Container Holdings Ltd,Packaging & Containers,Consumer Cyclical,2.49,2,-1.76,,,0.37,8.87,,0.71,1104000
7435.T,Nadex Co Ltd,Specialty Industrial Machinery,Industrials,2.77,4,-2.20,0.32,1.43,0.41,7.21,,877.00,2200
3326.HK,Perfect Group International Holdings Ltd,Luxury Goods,Consumer Cyclical,3.21,6,-2.78,,,0.36,3.08,,0.185,36000
ISSP.JK,Steel Pipe Industry of Indonesia,Steel,Basic Materials,2.63,7,-3.04,0.34,0.20,0.26,7.44,,270.00,692700
7083.KL,Analabs Resources Bhd,Specialty Chemicals,Basic Materials,1.15,5,-2.94,0.34,0.23,0.32,3.20,,1.76,2000
6748.T,Seiwa Electric Mfg. Co Ltd,Electrical Equipment & Parts,Industrials,2.06,7,-3.27,,1.25,0.36,9.12,,502.00,11900
SDG.L,Sanderson Design Group Plc,Furnishings Fixtures & Appliances,Consumer Cyclical,2.95,4,-2.54,,0.34,0.38,4.33,,55.00,126580
5242.KL,Solid Automotive Bhd,Auto Parts,Consumer Cyclical,3.39,7,-2.74,,0.10,0.21,8.17,,0.185,38800
4243.T,Nix Inc,Specialty Chemicals,Basic Materials,2.73,6,-2.62,0.34,,0.46,7.81,,725.00,200
NMM,Navios Maritime Partners LP,Marine Shipping,Industrials,0.88,5,-1.79,0.78,0.13,0.24,7.16,2.63,42.17,122367
NMM.IX,Navios Maritime Partners LP,Marine Shipping,Industrials,0.88,5,-1.79,0.78,0.13,0.24,7.16,2.63,42.17,113162
SRSN.JK,Indo Acidatama,Chemicals,Basic Materials,2.13,3,-1.77,1.34,,0.42,8.91,,50.00,297700
6769.KL,JKG Land Bhd,Real Estate - Development,Real Estate,2.27,7,-1.16,,0.42,0.32,6.27,,0.105,40000
4976.T,Toyo Drilube Co Ltd,Specialty Chemicals,Basic Materials,2.99,8,-2.74,0.39,0.80,0.35,8.97,,3330.00,700
TOMA.PR,Toma a.s.,Conglomerates,Industrials,2.15,7,-2.84,,0.69,0.34,9.55,,1350.00,14
5440.T,Kyoei Steel Ltd,Steel,Basic Materials,2.38,6,-2.57,,0.83,0.33,9.60,,1999.00,55000
STARPAPER.NS,Star Paper Mills Ltd,Paper & Paper Products,Basic Materials,2.57,5,-1.76,,0.40,0.35,4.94,,189.58,6636
JKON.JK,Jaya Konstruksi Manggala Pratama,Conglomerates,Industrials,2.87,7,-2.68,0.39,,0.32,5.69,,80.00,2875200
0623.HK,SinoMedia Holding Ltd,Advertising Agencies,Communication Services,3.69,6,-1.91,,,0.40,7.99,,1.70,6156000
9385.KL,Lay Hong Bhd,Farm Products,Consumer Defensive,2.37,7,-3.22,0.31,0.08,0.20,7.72,,0.345,1167100
STARPAPER.BO,Star Paper Mills Ltd,Paper & Paper Products,Basic Materials,2.57,5,-1.76,,0.40,0.36,5.02,,189.25,220
7207.KL,Success Transformer Corp Bhd,Electrical Equipment & Parts,Industrials,4.52,4,-2.45,0.35,1.39,0.41,6.75,,0.695,30500
DAC,Danaos Corp,Marine Shipping,Industrials,2.78,7,-2.39,0.26,0.11,0.24,6.56,4.91,79.23,82301
DAC.IX,Danaos Corp,Marine Shipping,Industrials,2.78,7,-2.39,0.26,0.11,0.24,6.56,4.91,79.23,57881
JELCF,Johnson Electric Holdings Ltd,Auto Parts,Consumer Cyclical,2.73,8,-3.04,,,0.34,7.88,,1.2900,100
3553.T,Kyowa Leather Cloth Co Ltd,Chemicals,Basic Materials,2.66,8,-2.91,,,0.42,8.34,,698.00,35400
3042.KL,Petron Malaysia Refining & Marketing Bhd,Oil & Gas Refining & Marketing,Energy,5.59,5,-2.59,0.45,,0.42,4.37,,4.17,3500
6336.T,Ishii Hyoki Co Ltd,Specialty Industrial Machinery,Industrials,2.61,6,-2.10,,0.21,0.33,4.58,,512.00,1000
0240.HK,Build King Holdings Ltd,Engineering & Construction,Industrials,2.44,6,-1.73,,,0.25,3.71,,0.92,50000
5080.KL,Poh Kong Holdings Bhd,Luxury Goods,Consumer Cyclical,4.69,6,-2.52,0.30,0.14,0.27,7.76,,1.02,603300
ALCOF.PA,Cofidur S.A.,Electronic Components,Technology,2.28,5,-1.16,,,0.43,8.79,,332.00,3
SRTG.JK,Saratoga Investama Sedaya,Asset Management,Financial Services,6.38,5,,0.49,,0.30,5.13,,1915.00,10098800
0179.HK,Johnson Electric Holdings Ltd,Auto Parts,Consumer Cyclical,2.73,8,-3.04,,,0.35,7.72,,10.30,125688
1612.HK,Vincent Medical Holdings Ltd,Medical Devices,Healthcare,3.06,8,-2.85,,,0.29,4.50,,0.41,12000
JEHLY,Johnson Electric Holdings Ltd ADR,Auto Parts,Consumer Cyclical,2.73,8,-3.04,,,0.35,7.76,,13.4150,164
0722.HK,UMP Healthcare Holdings Ltd,Medical Care Facilities,Healthcare,1.97,3,-2.87,0.27,0.54,0.51,7.09,,0.435,40000
7250.T,Pacific Industrial Co Ltd,Auto Parts,Consumer Cyclical,2.17,9,-2.82,,0.28,0.40,8.11,,1544.00,380600
1899.T,Fukuda Corp,Engineering & Construction,Industrials,2.94,6,-2.56,,,0.41,6.77,,4970.00,4400
9312.T,Keihin Co Ltd,Integrated Freight & Logistics,Industrials,2.05,7,-2.33,,0.53,0.39,8.65,,2083.00,10600
3943.T,Ohishi Sangyo Co Ltd,Packaging & Containers,Consumer Cyclical,3.00,6,-2.59,,,0.49,9.48,,1145.00,15900
MRKP.ME,Rosseti Centre & Volga Region,Utilities - Regulated Electric,Utilities,2.13,6,-3.11,0.38,0.22,0.25,4.08,,0.3695,59651920
G0I.SI,Nam Lee Pressed Metal Industries Ltd,Metal Fabrication,Industrials,3.00,7,-2.27,0.63,,0.39,7.24,,0.350,646600
VINDHYATEL.NS,Vindhya Telelinks Ltd,Engineering & Construction,Industrials,1.40,7,-2.47,,,0.44,8.55,,1684.50,6525
1724.T,Synclayer Inc,Communication Equipment,Technology,2.34,7,-3.20,,,0.39,6.51,,616.00,300
7246.T,Press Kogyo Co Ltd,Auto Parts,Consumer Cyclical,2.52,7,-2.92,,0.32,0.42,9.34,,567.00,115600
PARXF,Parex Resources Inc,Oil & Gas E&P,Energy,3.84,5,-3.64,0.18,0.15,0.27,5.29,,9.5400,76174
BPF.SI,YHI International Ltd,Auto Parts,Consumer Cyclical,3.31,6,-2.79,,,0.49,9.94,,0.480,2500
GDL.TO,Goodfellow Inc,Lumber & Wood Production,Basic Materials,4.07,5,-2.41,0.30,0.33,0.42,8.35,0.09,12.30,3925
2348.HK,Dawnrays Pharmaceutical (Holdings) Ltd,Drug Manufacturers - Specialty & Generic,Healthcare,3.18,5,-2.57,,0.78,0.38,5.00,,1.20,24000
4246.T,DaikyoNishikawa Corp,Auto Parts,Consumer Cyclical,2.35,8,-3.27,,,0.39,6.35,,634.00,30200
3983.HK,China BlueChemical Ltd,Agricultural Inputs,Basic Materials,3.13,5,-1.92,,1.05,0.41,9.27,,2.18,1466076
VALUE.AS,Value8 N.V.,Asset Management,Financial Services,3.38,4,-0.91,,,0.32,6.22,,5.80,4123
VINDHYATEL.BO,Vindhya Telelinks Ltd,Engineering & Construction,Industrials,1.40,7,-2.47,,,0.46,8.99,,1697.50,1094
8273.KL,Public Packages Holdings Bhd,Packaging & Containers,Consumer Cyclical,6.21,5,-2.52,0.34,0.29,0.31,6.87,,0.80,63100
APEMY,Aperam S.A. ADR,Steel,Basic Materials,2.28,5,-1.80,0.31,,0.50,5.69,,27.0000,100
5191.KL,Tambun Indah Land Bhd,Real Estate - Diversified,Real Estate,3.78,8,-2.88,0.37,0.96,0.44,4.95,,0.91,79300
7162.KL,Astino Bhd,Building Materials,Basic Materials,4.29,5,-2.49,0.31,,0.44,7.56,,0.605,2200
5199.KL,Hibiscus Petroleum Bhd,Oil & Gas E&P,Energy,1.80,5,-3.26,0.24,0.12,0.36,6.22,,1.84,846800
CMHHY,China Merchants Ports Holdings Co Ltd ADR,Marine Shipping,Industrials,0.89,5,-2.70,,,0.46,8.02,,16.7000,433
0144.HK,China Merchants Port Holdings Co Ltd,Marine Shipping,Industrials,0.89,5,-2.70,,,0.46,8.00,,13.12,512290
6459.KL,MNRB Holdings Bhd,Insurance - Reinsurance,Financial Services,,5,-1.97,,0.18,0.28,8.17,,2.20,188500
3443.T,Kawada Technologies Inc,Engineering & Construction,Industrials,2.20,7,-2.70,,0.76,0.33,7.58,,2696.00,26500
6150.T,Takeda Machinery Co Ltd,Metal Fabrication,Industrials,2.61,8,-3.26,,,0.43,6.70,,2967.00,100
PXT.TO,Parex Resources Inc,Oil & Gas E&P,Energy,3.84,5,-3.64,0.19,0.15,0.29,5.56,6.89,13.85,310042
0746.HK,Lee & Man Chemical Co Ltd,Chemicals,Basic Materials,3.38,5,-1.98,,,0.38,4.68,,4.02,400000
7439.KL,Teck Guan Perdana Bhd,Packaged Foods,Consumer Defensive,3.78,7,,0.43,0.43,0.41,5.54,,1.62,20300
1556.HK,Chinney Kin Wing Holdings Ltd,Engineering & Construction,Industrials,2.27,7,-2.83,,0.30,0.27,3.72,,0.29,10000
LTLS.JK,Lautan Luas,Specialty Chemicals,Basic Materials,2.49,8,-2.65,0.28,,0.43,8.32,,1010.00,135100
DCOHF,Dickson Concepts (International) Ltd,Luxury Goods,Consumer Cyclical,2.81,8,-2.35,,,0.42,8.71,,0.6301,1000
7425.T,Hatsuho Shouji Co Ltd,Steel,Basic Materials,2.85,4,-2.40,,0.20,0.35,9.77,,1550.00,2800
0113.HK,Dickson Concepts (International) Ltd,Luxury Goods,Consumer Cyclical,2.81,8,-2.35,,,0.42,8.67,,4.92,11500
APAM.MC,Aperam S.A.,Steel,Basic Materials,2.28,5,-1.80,0.31,,0.52,5.79,,26.84,723
APAM.VI,Aperam S.A.,Steel,Basic Materials,2.28,5,-1.80,0.31,,0.52,5.76,,26.86,0
APAM.AS,Aperam S.A.,Steel,Basic Materials,2.28,5,-1.80,0.31,,0.53,5.78,,26.74,199238
3355.T,Kuriyama Holdings Corp,Industrial Distribution,Industrials,2.96,7,-2.53,0.44,0.59,0.45,9.22,,1255.00,6100
E4I.DE,Multitude AG,Credit Services,Financial Services,0.77,4,-2.58,0.37,0.06,0.18,7.54,,4.75,2573
4611.T,Dai Nippon Toryo Co Ltd,Specialty Chemicals,Basic Materials,2.18,6,-2.51,,1.01,0.51,8.65,,1194.00,32400
DBMBF,Macquarie Mexico Real Estate Management S.A. de C.V.,REIT - Industrial,Real Estate,1.93,5,0.74,0.48,,0.23,4.71,,1.6720,3401
1827.T,Nakano Corp,Engineering & Construction,Industrials,3.09,6,-2.15,,,0.41,7.74,,719.00,167400
AWI.SI,Thakral Corp Ltd,Specialty Retail,Consumer Cyclical,1.79,2,-1.65,,0.84,0.30,6.55,,0.670,1000
5018.T,Moresco Corp,Specialty Chemicals,Basic Materials,2.51,7,-2.64,,1.90,0.53,9.11,,1289.00,15400
7244.T,Ichikoh Industries Ltd,Auto Parts,Consumer Cyclical,2.36,7,-2.50,,0.92,0.45,7.06,,404.00,16000
SFSHF,Safestore Holdings Plc,REIT - Industrial,Real Estate,2.10,5,-1.90,0.65,0.97,0.60,5.40,,7.9040,192
